tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
BRIC.1a	BRIC.1		This study	LP-NOMAG		
BRIC.2a	BRIC.2		This study	LP-NOMAG		
BRIC.3a	BRIC.3		This study	LP-NOMAG		
BRIC.4a	BRIC.4		This study	LP-NOMAG		
BRIC.5a	BRIC.5		This study	LP-NOMAG		
BRIC.6a	BRIC.6		This study	LP-NOMAG		
BRIC.9a	BRIC.9		This study	LP-NOMAG		
BRIC.10a	BRIC.10		This study	LP-NOMAG		
BRIC.11a	BRIC.11		This study	LP-NOMAG		
BRIC.12a	BRIC.12		This study	LP-NOMAG		
BRIC.13a	BRIC.13		This study	LP-NOMAG		
BRIC.14a	BRIC.14		This study	LP-NOMAG		
BRIC.15a	BRIC.15		This study	LP-NOMAG		
BRIC.16a	BRIC.16		This study	LP-NOMAG		
BRIC.17a	BRIC.17		This study	LP-NOMAG		
BRIC.18a	BRIC.18		This study	LP-NOMAG		
BRIC.19a	BRIC.19		This study	LP-NOMAG		
BRIC.20a	BRIC.20		This study	LP-NOMAG		
BRIC.21a	BRIC.21		This study	LP-NOMAG		
BRIC.22a	BRIC.22		This study	LP-NOMAG		
BRIC.23a	BRIC.23		This study	LP-NOMAG		
BRIC.24a	BRIC.24		This study	LP-NOMAG		
BRIC.25a	BRIC.25		This study	LP-NOMAG		
BRIC.26a	BRIC.26		This study	LP-NOMAG		
BRIC.27a	BRIC.27		This study	LP-NOMAG		
BRIC.28a	BRIC.28		This study	LP-NOMAG		
BRIC.29a	BRIC.29		This study	LP-NOMAG		
BRIC.30a	BRIC.30		This study	LP-NOMAG		
BRIC.31a	BRIC.31		This study	LP-NOMAG		
BRIC.32a	BRIC.32		This study	LP-NOMAG		
BRIC.33a	BRIC.33		This study	LP-NOMAG		
BRIC.34a	BRIC.34		This study	LP-NOMAG		
BRIC.35a	BRIC.35		This study	LP-NOMAG		
BRIC.36a	BRIC.36		This study	LP-NOMAG		
BRIC.37a	BRIC.37		This study	LP-NOMAG		
BRIC.38a	BRIC.38		This study	LP-NOMAG		
BRIC.39a	BRIC.39		This study	LP-NOMAG		
BRIC.40a	BRIC.40		This study	LP-NOMAG		
BRIC.41a	BRIC.41		This study	LP-NOMAG		
