T [K],X'(1.0Hz),"X""'(1.0Hz)",X'(10.0Hz),"X""'(10.0Hz)",X'(99.9Hz),"X""'(99.9Hz)"
9.999029,8.96E-08,-1.40E-06,8.82E-08,-1.40E-06,8.53E-08,-1.40E-06
14.99686,1.74E-07,-9.34E-07,1.70E-07,-9.35E-07,1.68E-07,-9.34E-07
19.99793,1.95E-07,-7.00E-07,1.91E-07,-7.01E-07,1.88E-07,-7.00E-07
24.99858,2.04E-07,-5.59E-07,2.00E-07,-5.59E-07,1.97E-07,-5.59E-07
30.00005,2.10E-07,-4.65E-07,2.05E-07,-4.65E-07,2.01E-07,-4.65E-07
34.99981,2.14E-07,-3.98E-07,2.08E-07,-3.98E-07,2.03E-07,-3.98E-07
40.00056,2.17E-07,-3.47E-07,2.12E-07,-3.48E-07,2.07E-07,-3.47E-07
44.99988,2.17E-07,-3.08E-07,2.12E-07,-3.09E-07,2.05E-07,-3.08E-07
50.00066,2.15E-07,-2.77E-07,2.08E-07,-2.77E-07,2.04E-07,-2.77E-07
54.99784,2.10E-07,-2.52E-07,2.04E-07,-2.52E-07,1.99E-07,-2.51E-07
59.99902,2.05E-07,-2.30E-07,2.00E-07,-2.30E-07,1.93E-07,-2.30E-07
64.99715,1.99E-07,-2.12E-07,1.94E-07,-2.12E-07,1.89E-07,-2.12E-07
69.995,1.94E-07,-1.97E-07,1.89E-07,-1.97E-07,1.83E-07,-1.97E-07
74.99653,1.88E-07,-1.84E-07,1.83E-07,-1.84E-07,1.78E-07,-1.83E-07
79.99553,1.82E-07,-1.72E-07,1.77E-07,-1.72E-07,1.72E-07,-1.72E-07
84.99345,1.77E-07,-1.62E-07,1.72E-07,-1.62E-07,1.68E-07,-1.62E-07
89.99118,1.71E-07,-1.53E-07,1.67E-07,-1.53E-07,1.63E-07,-1.53E-07
94.99493,1.66E-07,-1.45E-07,1.61E-07,-1.45E-07,1.57E-07,-1.45E-07
99.99546,1.61E-07,-1.38E-07,1.57E-07,-1.38E-07,1.54E-07,-1.38E-07
104.9903,1.56E-07,-1.31E-07,1.53E-07,-1.31E-07,1.49E-07,-1.31E-07
109.9988,1.52E-07,-1.25E-07,1.49E-07,-1.25E-07,1.47E-07,-1.25E-07
