X,X'(1.0Hz),X'(5.6Hz),X'(31.6Hz),X'(177.6Hz),X'(997.3Hz),
4.999934,2.45E-08,-1.20E-06,2.48E-08,-1.20E-06,2.79E-08,-1.20E-06
9.998759,1.65E-07,-6.00E-07,1.64E-07,-6.01E-07,1.62E-07,-6.00E-07
14.99852,1.62E-07,-4.00E-07,1.62E-07,-4.00E-07,1.60E-07,-4.00E-07
19.99874,1.52E-07,-3.00E-07,1.52E-07,-3.00E-07,1.49E-07,-3.00E-07
24.99947,1.44E-07,-2.39E-07,1.44E-07,-2.39E-07,1.41E-07,-2.39E-07
30.00072,1.39E-07,-2.00E-07,1.38E-07,-1.99E-07,1.36E-07,-1.99E-07
34.9981,1.35E-07,-1.70E-07,1.33E-07,-1.71E-07,1.31E-07,-1.70E-07
39.99963,1.31E-07,-1.49E-07,1.30E-07,-1.49E-07,1.27E-07,-1.49E-07
45.00176,1.28E-07,-1.32E-07,1.26E-07,-1.32E-07,1.24E-07,-1.31E-07
49.99991,1.25E-07,-1.19E-07,1.23E-07,-1.19E-07,1.21E-07,-1.19E-07
55.00563,1.22E-07,-1.07E-07,1.20E-07,-1.07E-07,1.19E-07,-1.08E-07
60.00259,1.20E-07,-9.89E-08,1.19E-07,-9.85E-08,1.17E-07,-9.86E-08
65.00118,1.17E-07,-9.08E-08,1.15E-07,-9.09E-08,1.13E-07,-9.07E-08
69.9981,1.13E-07,-8.43E-08,1.12E-07,-8.42E-08,1.10E-07,-8.42E-08
74.99681,1.11E-07,-7.85E-08,1.09E-07,-7.85E-08,1.06E-07,-7.86E-08
79.99938,1.08E-07,-7.36E-08,1.06E-07,-7.35E-08,1.04E-07,-7.36E-08
84.99448,1.05E-07,-6.89E-08,1.03E-07,-6.93E-08,1.02E-07,-6.92E-08
89.99836,1.03E-07,-6.53E-08,1.01E-07,-6.53E-08,9.97E-08,-6.52E-08
95.00204,1.01E-07,-6.19E-08,9.90E-08,-6.17E-08,9.76E-08,-6.18E-08
