X,Temp (K),X,M_loop_raw,X,Mf,X,M_grid,X,Mrh,X,Mih,X,Mf_fit,X,M_err,X,Mbf_dot
,250,5.025723,0.430059929,5.007,0.041104454,5.007,0.428993696,5.007,8.28E-05,5.007,0.041021659,,,5.00201791,0.001428773,,
,250,5.020722502,0.429740263,5.00201791,0.041192295,5.00201791,0.428665484,5.00201791,0.000131765,5.00201791,0.04106053,,,4.997035821,0.001397258,,
,250,5.015722005,0.429420297,4.997035821,0.041280108,4.997035821,0.42833469,4.997035821,0.000649745,4.997035821,0.040630362,,,4.992053731,0.001363189,,
,250,5.010721507,0.429099723,4.992053731,0.041367618,4.992053731,0.428001009,4.992053731,0.000705463,4.992053731,0.040662155,,,4.987071642,0.001326537,,
,250,5.00572101,0.428778234,4.987071642,0.041454551,4.987071642,0.427664139,4.987071642,0.000760902,4.987071642,0.04069365,,,4.982089552,0.001287271,,
,250,5.000720512,0.428455523,4.982089552,0.041540635,4.982089552,0.427323775,4.982089552,0.000844417,4.982089552,0.040696219,,,4.977107463,0.00124536,,
,250,4.995720015,0.428131283,4.977107463,0.041625596,4.977107463,0.426979614,4.977107463,0.000909086,4.977107463,0.04071651,,,4.972125373,0.001200776,,
,250,4.990719517,0.427805206,4.972125373,0.041709162,4.972125373,0.426631351,4.972125373,0.000923948,4.972125373,0.040785213,,,4.967143284,0.001153488,,
,250,4.98571902,0.427476986,4.967143284,0.041791078,4.967143284,0.426278684,4.967143284,0.000976683,4.967143284,0.040814395,,,4.962161194,0.001103465,,
,250,4.980718522,0.427146314,4.962161194,0.041871114,4.962161194,0.425921307,4.962161194,0.001028368,4.962161194,0.040842746,,,4.957179104,0.001050678,,
,250,4.975718025,0.426812885,4.957179104,0.041949013,4.957179104,0.425558917,4.957179104,0.001078846,4.957179104,0.040870166,,,4.952197015,0.000995097,,
,250,4.970717527,0.426476389,4.952197015,0.04202444,4.952197015,0.425191211,4.952197015,0.001127917,4.952197015,0.040896523,,,4.947214925,0.00093669,,
,250,4.96571703,0.426136522,4.947214925,0.042096946,4.947214925,0.424817884,4.947214925,0.00117533,4.947214925,0.040921616,,,4.942232836,0.000875454,,
,250,4.960716532,0.425792974,4.942232836,0.042165972,4.942232836,0.424438657,4.942232836,0.001220789,4.942232836,0.040945183,,,4.937250746,0.000811605,,
,250,4.955716035,0.425445439,4.937250746,0.04223104,4.937250746,0.424053474,4.937250746,0.00126401,4.937250746,0.040967031,,,4.932268657,0.000745696,,
,250,4.950715537,0.42509361,4.932268657,0.04229188,4.932268657,0.423662615,4.932268657,0.001304765,4.932268657,0.040987115,,,4.927286567,0.000678399,,
,250,4.94571504,0.42473718,4.927286567,0.042348227,4.927286567,0.423266477,4.927286567,0.001342846,4.927286567,0.041005381,,,4.922304478,0.000610384,,
,250,4.940714542,0.42437584,4.922304478,0.042399738,4.922304478,0.422865457,4.922304478,0.001378032,4.922304478,0.041021706,,,4.917322388,0.000542324,,
,250,4.935714045,0.424009285,4.917322388,0.04244608,4.917322388,0.422459953,4.917322388,0.001410127,4.917322388,0.041035953,,,4.912340299,0.000474889,,
,250,4.930713547,0.423637206,4.912340299,0.042487004,4.912340299,0.422050363,4.912340299,0.00143899,4.912340299,0.041048014,,,4.907358209,0.000408751,,
